2022-02-18 18:26:32,424 INFO werkzeug MainThread :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-02-18 18:26:32,426 INFO werkzeug MainThread :  * Restarting with stat
2022-02-18 18:26:32,590 WARNING werkzeug MainThread :  * Debugger is active!
2022-02-18 18:26:32,590 INFO werkzeug MainThread :  * Debugger PIN: 138-624-410
2022-02-18 18:26:34,618 INFO werkzeug MainThread :  * Detected change in '/home/tulin/PycharmProjects/pythonProject/app/communication_with_nebula.py', reloading
2022-02-18 18:26:34,650 INFO werkzeug MainThread :  * Restarting with stat
2022-02-18 18:26:34,810 WARNING werkzeug MainThread :  * Debugger is active!
2022-02-18 18:26:34,810 INFO werkzeug MainThread :  * Debugger PIN: 138-624-410
2022-02-18 18:26:36,070 INFO werkzeug Thread-2 : 127.0.0.1 - - [18/Feb/2022 18:26:36] "[35m[1mPOST /yaml-template?cluster_name=LOL HTTP/1.1[0m" 500 -
2022-02-18 18:26:56,030 INFO werkzeug MainThread :  * Detected change in '/home/tulin/PycharmProjects/pythonProject/app/views.py', reloading
2022-02-18 18:26:56,063 INFO werkzeug MainThread :  * Restarting with stat
2022-02-18 18:26:56,226 WARNING werkzeug MainThread :  * Debugger is active!
2022-02-18 18:26:56,226 INFO werkzeug MainThread :  * Debugger PIN: 138-624-410
2022-02-18 18:26:57,150 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:57,180 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,249 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,259 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,321 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,326 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,331 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,378 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,388 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,442 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,452 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,502 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,511 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,520 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,570 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,579 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,587 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,638 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,647 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,654 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,661 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,710 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,717 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,765 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,774 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,826 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,836 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,845 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,898 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,907 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,916 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,966 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,974 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,983 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:58,990 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,038 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,048 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,057 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,110 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,119 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,128 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,177 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,185 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,191 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,198 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,245 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,253 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,301 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,361 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,370 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,421 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,430 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,478 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,487 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,538 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,546 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,554 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,562 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,621 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,642 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,701 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,709 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,757 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,765 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,813 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-18 18:26:59,821 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
