2022-02-23 17:36:03,344 WARNING werkzeug MainThread :  * Debugger is active!
2022-02-23 17:36:03,345 INFO werkzeug MainThread :  * Debugger PIN: 328-217-280
2022-02-23 17:36:04,637 INFO werkzeug Thread-2 : 127.0.0.1 - - [23/Feb/2022 17:36:04] "[35m[1mPOST /yaml-template?cluster_name=cluster_tosca_8 HTTP/1.1[0m" 500 -
2022-02-23 17:36:46,800 INFO werkzeug MainThread :  * Detected change in '/home/tulin/PycharmProjects/pythonProject/app/views.py', reloading
2022-02-23 17:36:46,995 WARNING werkzeug MainThread :  * Debugger is active!
2022-02-23 17:36:46,995 INFO werkzeug MainThread :  * Debugger PIN: 328-217-280
2022-02-23 17:36:47,545 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:36:47,920 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:36:47,947 INFO werkzeug Thread-2 : 127.0.0.1 - - [23/Feb/2022 17:36:47] "[35m[1mPOST /yaml-template?cluster_name=cluster_tosca_8 HTTP/1.1[0m" 500 -
2022-02-23 17:37:12,429 INFO root Thread-3 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:37:12,732 INFO root Thread-3 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:37:12,915 INFO root Thread-3 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:37:12,964 INFO root Thread-3 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:37:12,973 INFO root Thread-3 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:37:13,025 INFO root Thread-3 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:37:13,034 INFO root Thread-3 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:37:13,085 INFO root Thread-3 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:37:13,094 INFO root Thread-3 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:37:13,145 INFO root Thread-3 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:37:13,154 INFO root Thread-3 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:37:13,163 INFO root Thread-3 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:37:13,171 INFO root Thread-3 : Get connection to ('10.100.151.128', 9669)
2022-02-23 17:37:13,221 INFO root Thread-3 : Get connection to ('10.100.151.128', 9669)
