2022-02-23 19:52:31,391 INFO werkzeug MainThread :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-02-23 19:52:31,393 INFO werkzeug MainThread :  * Restarting with stat
2022-02-23 19:52:31,569 WARNING werkzeug MainThread :  * Debugger is active!
2022-02-23 19:52:31,569 INFO werkzeug MainThread :  * Debugger PIN: 328-217-280
2022-02-23 19:52:35,045 INFO werkzeug Thread-2 : 127.0.0.1 - - [23/Feb/2022 19:52:35] "POST /yaml-template?cluster_name=cluster_tosca_10 HTTP/1.1" 200 -
2022-02-23 19:52:48,739 INFO werkzeug MainThread :  * Detected change in '/home/tulin/PycharmProjects/pythonProject/app/views.py', reloading
2022-02-23 19:52:48,762 INFO werkzeug MainThread :  * Restarting with stat
2022-02-23 19:52:48,919 WARNING werkzeug MainThread :  * Debugger is active!
2022-02-23 19:52:48,920 INFO werkzeug MainThread :  * Debugger PIN: 328-217-280
2022-02-23 19:52:49,869 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:49,890 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:49,898 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:49,906 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:49,915 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:49,965 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:49,974 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,025 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,034 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,042 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,049 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,101 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,110 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,165 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,174 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,225 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,234 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,285 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,294 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,345 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,353 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,401 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,410 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,461 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,470 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,521 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,530 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,538 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,589 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,596 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,645 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,652 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,701 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,709 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,758 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,767 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,821 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,829 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,877 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,885 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,937 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,945 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:50,997 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,005 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,057 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,066 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,076 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,085 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,137 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,148 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,157 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,209 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,219 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,269 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,280 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,288 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,341 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,350 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,357 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,405 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,413 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,461 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,474 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,482 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,533 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,543 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,551 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,601 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,610 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,618 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,627 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,677 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,687 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,737 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,745 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,797 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,807 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,816 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,865 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,872 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,921 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,931 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,939 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,989 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:51,998 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,049 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,057 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,105 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,113 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,165 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,174 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,181 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,188 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,237 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,245 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,252 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,259 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,265 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,314 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,323 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,373 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,381 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,433 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,442 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,493 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,504 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,553 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,562 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,570 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,578 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,633 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,642 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,693 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,704 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,713 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,761 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,771 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,821 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,831 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,881 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,891 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,941 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:52,951 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:53,001 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:53,009 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:53,061 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:53,071 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:53,121 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:53,131 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2022-02-23 19:52:53,181 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
