2021-12-27 15:50:25,354 WARNING werkzeug MainThread :  * Debugger is active!
2021-12-27 15:50:25,354 INFO werkzeug MainThread :  * Debugger PIN: 123-483-832
2021-12-27 15:50:25,712 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:25,778 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:26,858 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:26,909 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:26,914 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:26,918 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:26,921 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:26,925 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:26,973 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:26,977 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,025 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,031 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,036 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,041 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,089 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,094 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,098 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,145 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,151 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,156 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,161 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,210 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,219 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,270 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,280 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,330 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,340 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,389 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,399 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,450 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,514 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,523 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,533 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,541 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,589 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,597 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,646 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,656 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,706 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,716 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,765 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,774 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,825 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,833 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,881 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,889 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,937 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,945 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:27,993 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,001 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,050 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,059 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,066 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,073 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,122 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,130 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,139 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,190 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,199 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,205 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,211 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,217 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,265 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,273 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,321 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,329 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-27 15:50:28,377 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
